# u, v, weight
128, 158, 11.0
128, 163, 12.5
128, 169, 24.0
129, 143, 1.5
130, 145, 8.5
130, 151, 96.0
130, 157, 0.5
130, 162, 0.5
131, 132, 0.5
131, 138, 88.5
131, 140, 3.5
131, 153, 88.5
132, 166, 0.5
132, 174, 0.5
133, 136, 22.0
133, 147, 15.0
134, 138, 89.0
134, 140, 4.0
134, 150, 0.5
134, 166, 0.5
135, 144, 0.5
135, 153, 25.5
136, 137, 89.0
136, 146, 8.0
136, 153, 89.0
136, 162, 12.0
137, 138, 1.0
137, 158, 2.5
137, 169, 16.5
137, 179, 0.5
138, 144, 26.0
138, 148, 0.5
138, 178, 18.0
139, 178, 7.5
140, 141, 0.5
140, 178, 103.0
141, 172, 1.5
141, 175, 3.5
142, 148, 0.5
142, 178, 18.0
145, 147, 7.0
145, 152, 1.0
145, 153, 89.0
145, 171, 1.0
146, 147, 1.0
146, 149, 2.5
146, 153, 94.0
146, 174, 8.5
146, 177, 10.5
146, 180, 9.5
147, 149, 0.5
147, 151, 94.5
147, 152, 7.0
147, 162, 6.0
148, 153, 1.5
148, 173, 0.5
148, 177, 85.0
148, 181, 1.0
150, 164, 0.5
150, 171, 0.5
150, 175, 0.5
150, 180, 1.0
151, 153, 0.5
151, 155, 4.0
152, 153, 89.0
152, 171, 1.0
153, 158, 2.5
154, 159, 1.5
154, 161, 83.5
154, 177, 1.0
155, 158, 2.0
158, 159, 83.5
158, 161, 1.5
158, 169, 17.0
160, 169, 0.5
161, 173, 2.0
161, 177, 83.5
163, 167, 15.5
164, 174, 1.5
164, 177, 3.5
166, 175, 0.5
167, 178, 2.5
168, 178, 13.0
169, 178, 0.5
171, 177, 3.5
172, 177, 1.5
172, 180, 1.5
172, 181, 84.5
173, 179, 0.5
178, 181, 17.5
